title,field
"The phytochemical screening, total cucurbitacin content, and in vitro anti-breast cancer activity of Leucopaxillus gentianeus mushroom",Medicine
Prostate Gland Localization with Fiducial Markers,Medicine
45 Vaccine Protocol Influences Immune Phenotype of Weaned Beef Calves,Immunology and Microbiology
A Study on the Types of Tree Management in Modern Palace Using Photographs and Expert Interviews,Agricultural and Biological Sciences
Revisiting Oxidative Stress and the Use of Organic Selenium in Dairy Cow Nutrition,Nursing
"Ungulate migrations of the western United States, volume 3",Environmental Science
Optimization of Abrasive Waterjet Cutting by Using the CODAS Method with Regard to Interdependent Processing Parameters,Environmental Science
From G.E.D. to Ph.D.: Eric Thomas as a Model of Educational Success,Psychology
"Competition anxiety between participants of individual, dual, and team sports: A comparative study of foreign sports students in Beijing Sport University",Psychology
Correction:Community-deliverable exercise and anxiety in adults with arthritis and other rheumatic diseases: a systematic review with meta-analysis of randomised controlled trials,Medicine
Research on the Cooperation Strategy of Rail-road Transportation Enterprises under the Participation of Blockchain Technology,Computer Science
"Difference in life expectancy at age 30 between those with tertiary attainment and those with below upper secondary attainment, by gender (2017)",Social Sciences
About Lie-Rinehart superalgebras,Mathematics
"Relationship Between Passive Immunity Levels and Morbidity, Mortality and Growth Rates of Friesian Calves in Egypt",Veterinary
41 Association between Pseudomonas aeruginosa infection stage and lung function trajectory in children with cystic fibrosis,Medicine
Osteogenic Differentiation: Efficient Single‐Dose Induction of Osteogenic Differentiation of Stem Cells Using Multi‐Bioactive Hybrid Nanocarriers (Adv. Biosys. 11/2020),Engineering
Design of MMP-1 inhibitors via SAR transfer and experimental validation,"Biochemistry, Genetics and Molecular Biology"
"Cultural participation for, with and by children – Enhancing children’s agency through art pedagogy, visual knowledge-building and learning",Arts and Humanities
Quantifying the Contribution of Urbanization to Summer Extreme High-Temperature Events in the Beijing–Tianjin–Hebei Urban Agglomeration,Environmental Science
Antifungal activity in vitro of Sapranthus microcarpus (Annonaceae) against phytopathogens,"Biochemistry, Genetics and Molecular Biology"
Integration of electric and magnetic fields near wells,Engineering
The impact of emotional intelligence in health care professionals on caring behaviour towards patients in clinical and long-term care settings: Findings from an integrative review,Psychology
The development of a faecal incontinence core outcome set: an international Delphi study protocol,Social Sciences
Comparison of the efficacy of five different objective methods to evaluate the success of infraclavicular block; Which one of them is a reliable and early indicator?,Medicine
Two-stream plasma instability as a potential mechanism for particle escape from the Venusian ionosphere,Physics and Astronomy
Electrophysiological Markers of Fairness and Selfishness Revealed by a Combination of Dictator and Ultimatum Games,Neuroscience
"Electrosynthesis of gold nanocomposites based on copolymer of 1-vinyl-1,2,4-triazol with crotonic acid",Materials Science
GENÓMICA Y COMPUTACIÓN: UNA VISIÓN DESDE LA FILOSOFÍA DE LA TECNOLOGÍA,Neuroscience
Genesis of legislation in the field of operational investigative activities in independent Ukraine,Social Sciences
Deciphering function of the pulmonary arterial sphincters in loggerhead sea turtles (<i>Caretta caretta</i>),Environmental Science
Positive periodic solutions to an indefinite Minkowski-curvature equation,Mathematics
"A Comprehensive Optimization Design Method of Aerodynamic, Acoustic, and Stealth of Helicopter Rotor Blades Based on Genetic Algorithm",Engineering
Integrated Transcriptome and Proteome Analysis Provides Insight into the Ribosome Inactivating Proteins in Plukenetia volubilis Seeds,Immunology and Microbiology
Low-impact line construction retains and speeds recovery of trees on seismic lines in forested peatlands,Environmental Science
Training for sustainability through biomimicry and creative problem-solving processes,Engineering
Efektivitas Pelaksanaan Perawatan Metode Kanguru pada Bayi Berat Lahir Rendah di Masa Pandemi COVID-19,Medicine
Evaluation of IL-1 Blockade as an Adjunct to Linezolid Therapy for Tuberculosis in Mice and Macaques,Medicine
The role of iron and reactive oxygen species in the production of CO2 in arctic soil waters,Environmental Science
Spaceflight not an eye‐popping experience for astronauts,Medicine
Conceptualization of ‘the Woman’: A Critical Analysis of Selected Yoruba Proverbs,Psychology
"THE DEVELOPMENT OF ECONOMY OF KNOWLEDGE IN MINING REGIONS: POTENTIAL, CHALLENGES, PROSPECTS",Engineering
Electrochemical Characteristics and Transport Properties of V(II)/V(III) Redox Couple in a Deep Eutectic Solvent: Magnetic Field Effect,Engineering
Hyperbrain network properties of guitarists playing in quartet,Neuroscience
Guideline “diagnosis and non interventional therapy of neuropathic pain” of the German Society of Neurology (deutsche Gesellschaft für Neurologie),Medicine
Mixed-Cation Halide Perovskite Doped with Rb+ for Highly Efficient Photodetector,Engineering
Cultural policy research spread across disciplinesand administrative sectors,Social Sciences
Sex- and Dose-Dependent Differences in the Development of an Addiction-Like Phenotype Following Extended-Access Fentanyl Self-Administration,Neuroscience
Principles and examples of design of rehabilitation centers in Russia and abroad,Medicine
Islam and its Role in Building Society: An Objective Study,Social Sciences
"Moments of the doubly truncated selection elliptical distributions with emphasis on the unified multivariate skew-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e1469"" altimg=""si259.svg""><mml:mi>t</mml:mi></mml:math> distribution",Mathematics
Near‐term forecasts of <scp>NEON</scp> lakes reveal gradients of environmental predictability across the <scp>US</scp>,Environmental Science
Point Cloud Registration Using Intensity Features,Environmental Science
New resource-saving technologies for gold recovery from rebellious and hard-to-process material of clayey deposits and mining waste,Engineering
Kebijakan Non Penal terhadap Pelaku Tindak Pidana Perjudian Jenis Sabung Ayam dalam Wilayah Hukum Kepolisian Sektor Kota Baru,Social Sciences
New Perspectives on Endoscopic Management of Liver and Pancreatic Cancer,Medicine
Further Discussion on Land Law Modification – And Regulations for Industrial Zones Land,Environmental Science
Diagnosis of Retropharyngeal Abscess using Point of Care Ultrasound,Medicine
Finite Element Analysis for First Metatarsophalangeal Joint Arthrodesis Demonstrates Reduction in Stress Across Bio-Integrative Fixation Over Traditional Metal Fixation,Medicine
Outcome of intracerebral cavernoma treated by Gamma Knife radiosurgery based on a double-blind assessment of treatment indication,Medicine
Performowanie Białoszewskiego. O MiroForach t. 1 i 2,Social Sciences
Qualitative analysis of A.P.A. solution for fractional order neutral stochastic evolution equations driven by G-Brownian motion,Mathematics
"THE PECULIARITIES OF THE QUALITY OF LIFE OF PATIENTS, SUFFERED FROM ANEURYSMAL SUBARACHNOID HAEMORRHAGE",Medicine
Notes on the adventive flora of northern Moravia and Silesia 5. Microrrhinum litorale,Agricultural and Biological Sciences
Expression of DNMTs and H3K9ac in Ameloblastoma and Ameloblastic Carcinoma,Dentistry
An experimental study on effectiveness of teaching English through English movies,Arts and Humanities
Influence of Rice Straw Fibers on Concrete Strength and Drying Shrinkage,Materials Science
"Public awareness about attention deficit hyperactivity disorder (ADHD) in the Hail region, Kingdom of Saudi Arabia",Medicine
Attendance and Engagement in Parent Training Predict Child Behavioral Outcomes in Children Pharmacologically Treated for Attention-Deficit/Hyperactivity Disorder and Severe Aggression,Medicine
Transferosome: A SuitableDelivery System for Percutaneous Administration,"Pharmacology, Toxicology and Pharmaceutics"
Nano and traditional copper and zinc antifouling coatings: metal release and impact on marine sessile invertebrate communities,Engineering
Hydrography-Driven Optical Domains in the Vaigat-Disko Bay and Godthabsfjord: Effects of Glacial Meltwater Discharge,Earth and Planetary Sciences
Study on Portulaca Oleracea Native Species as Vegetal Source of Omega-3 and Omega-6 Fatty Acids,Neuroscience
"Perception accuracy, biases and path dependency in longitudinal social networks",Physics and Astronomy
Longitudinal medical needs for periviable NICU survivors,Medicine
Photography in Flux: The Global Contemporary,Arts and Humanities
The Voices of Berlin: Busking in a 'Creative' City,Social Sciences
Limited Scleroderma-Induced Pulmonary Arterial Hypertension Resulting in Impaired Postoperative Respiratory Function,Medicine
"Non‐physical Leisure Activity patterns and Cognitive Function in 4,121 Hong Kong older adults with no major neurocognitive disorders",Medicine
Micropollutants in treated wastewater,Environmental Science
Manufacturing doctors is one thing; sustaining working communities is quite another,Health Professions
Sparse isocon analysis: A data-driven approach for material transfer estimation,Computer Science
The MASSIVE Survey. IX. Photometric Analysis of 35 High-mass Early-type Galaxies with HST WFC3/IR*,Physics and Astronomy
Gender distribution in emergency medicine journals: editorial board memberships in top-ranked academic journals,Social Sciences
Issue Information,
THE ENDOSCOPIC FINDINGS IN SYMPTOMATIC PATIENTS WITH RELIABLE NONINVASIVE LABORATORY - PROVEN HELICOBACTER PYLORI INFECTION,Medicine
"Hadith: ""The Ash'aris, if they ran short of provisions while on a military expedition or if their children were short of food in Madinah … Juristic study",Health Professions
Thermal and optical performance of chemical vapor deposited zinc oxide thin film as thermal interface material for high power LED,Materials Science
Tuning between photon-number and quadrature measurements with weak-field homodyne detection,Computer Science
Analisis Aplikasi Kredivo Berdasarkan Information System Success Model (ISSM),Social Sciences
Absolute Wave Latency of Auditory Brainstem Response (ABR) in Children at Hasan Sadikin General Hospital Bandung,Health Professions
Functionalizing MXenes with molybdenum trioxide towards reducing fire hazards of thermoplastic polyurethane,Materials Science
Transmission characteristics of DNA templated 1D photonic crystal system for 3D printing applications: Simulation,Physics and Astronomy
Islamic Republic of Mauritania,Social Sciences
The Impact of Organizational Culture on Employee Performance in Educational Institutions: Systematic Literature Review,Social Sciences
